Name,Category,Type,XAxis,YAxis,
2226 Pay bills online on time.txt, class_10, JUNK, 27.9888479901, -18.5169804418,
1421 Welcome to HackerRank.txt, class_2, JUNK, 6.60533173493, -40.9304304338,
571 1DAY ONLY Travel from 6310.txt, class_2, JUNK, 5.79078355759, -41.2175288278,
631 Atlantic City  Finger Lakes NY  Iceland with Air  Caribbean
 Cruise  Upstate NY Water Park.txt, class_5, JUNK, 25.6470938086, 12.5713229123,
1184 See Ajay S S Reddys connections experience and more.txt, class_13, JUNK, 18.001147393, -4.67916640321,
25 Anjishnu See it Live Tickets on Sale  Special Offers This Week.txt, class_4, JUNK, -11.9741769438, 7.98996725085,
2341 Course Recap Leaderboard Freeze on Sept 8 at 1159pm PT and Next
 Steps.txt, class_3, JUNK, -13.6636065267, -2.11884661335,
1748 16 discussions and 6 comments on LinkedIn.txt, class_0, JUNK, 0.058415747849, 33.1375930443,
2014 How does the grading scheme evaluate accuracy.txt, class_10, JUNK, 7.33902827634, -7.46094933189,
2159 In the Public Eye  The Social Edition  September 2013.txt, class_6, JUNK, -21.7600561015, 14.4428166204,
506 New content on Columbia University in the City of New York.txt, class_12, JUNK, 3.28877028237, -8.99004939206,
1845 Tableau 81  Now Available.txt, class_6, JUNK, -22.5218450694, 15.5538098915,
2541 Twitter Sentiment Analysis spyTweetsGroup1verifiedxls.txt, class_0, JUNK, 38.2961979177, 12.6014739588,
38 This season Travel Worry Free.txt, class_7, JUNK, -10.3161282245, -21.4202667439,
1760 Save tax upto Rs35000 Invest in Health Insurance.txt, class_3, JUNK, -10.052440962, -3.8605493128,
2246 Added to topic Jimi Hendrix Jimi Hendrix w Robert Wyatt Andy Summers Zoot Money TTG Studio and more videos.txt, class_6, JUNK, -15.2933546655, 14.7336622111,
1016 Data users more likely to shift to postpaid plans  PwC study.txt, class_5, JUNK, 14.1169367669, 13.4442759318,
596 Karthik Kumar Viswanathan and 3 others like your new job.txt, class_13, JUNK, 17.5130421189, 3.60964973422,
1604 52 discussions and 1 comment on LinkedIn.txt, class_0, JUNK, 0.713189993813, 30.6779678336,
730 Beat the Heat with Jamba Juice  More.txt, class_3, JUNK, -7.95047954616, -4.79293172884,
1352 25 off fares to the UK and North
 America in our Summer Sale.txt, class_7, JUNK, -2.09442525202, -17.8554043445,
2080 Thanks for Applying.txt, class_5, JUNK, 6.60249530257, 15.7904407967,
2555 Aspire for the Best MBA  XIME Kochi.txt, class_9, JUNK, -26.362749682, -3.49703932206,
699 Whale Watching TourAquarium.txt, class_6, JUNK, -17.2859826166, 15.5773211113,
2065 3 discussions on LinkedIn.txt, class_0, JUNK, 2.40420101029, 29.0759737123,
2383 Re Catch up call.txt, class_8, JUNK, -7.23052018933, 22.6796331739,
344 Anjishnu Kumar find your friends on Twitter.txt, class_10, JUNK, 32.7507217723, -26.2604080774,
2172 Thank you for your participation.txt, class_3, JUNK, -14.382365456, 0.311585172476,
252 Activity Digest since 619PM for COMS W4118 on Piazza.txt, class_7, JUNK, -12.540298682, -28.9113428378,
1345 Ponzi schemes Scamsters make hay with investors money in poll
 season.txt, class_12, JUNK, 4.43177268584, -9.99514271455,
2253 Put the I in Customized.txt, class_4, JUNK, 6.33133526674, 2.90752365519,
795 One Day Only Fly One Way from 5410.txt, class_2, JUNK, 3.70024717791, -37.6211845629,
116 One Way Bonanza Fly from 6710.txt, class_2, JUNK, 6.15717338953, -38.7869995518,
1027 utf8Q2020off20on20KFC.txt, class_1, JUNK, -17.9709764336, 29.9842260387,
1848 Activity Digest since 1248PM for COMS W4705 on Piazza.txt, class_7, JUNK, -12.1381328009, -31.2982276076,
1659 Executive Club Statement.txt, class_7, JUNK, -0.373396453608, -20.1746097102,
681 Rick Bayless Presents Summer Eats.txt, class_12, JUNK, -6.3951955621, -5.27125530153,
964 Re Karaoke postponed for now.txt, class_10, JUNK, 9.3055945644, 0.583959384587,
52 This Is How You Win Over Your Boss.txt, class_11, JUNK, -45.1712847056, 11.2750181124,
1410 27 discussions and 10 comments on LinkedIn.txt, class_0, JUNK, -2.2728068504, 31.302574102,
1449 arpit gupta added you on Google.txt, class_13, JUNK, 17.993323517, -9.06691708255,
895 Algo 2 starts again on Monday.txt, class_5, JUNK, 18.3536743095, 25.0775242236,
1173 Faking News retweeted a photo from Psycho on Twitter.txt, class_10, JUNK, 8.61020861229, -5.53702221153,
946 Re.txt, class_8, JUNK, -5.36631945019, 23.8796500321,
1671 Why Coke is grabbing a stake in Green Mountains Keurig business.txt, class_12, JUNK, -17.3323894187, -17.0118228042,
179 New content on Columbia University in the City of New York.txt, class_11, JUNK, -43.6758282452, 12.0664897619,
35 Distinguish between processes and threads.txt, class_7, JUNK, 2.31020123637, -20.03048107,
2584 Jimi Hendrix  Purple Haze 15 Guitar Cover FarhatGuitarcom from Jimi Hendrix.txt, class_12, JUNK, -3.10818744492, -7.21689660617,
1333 Course Conclusion.txt, class_5, JUNK, 15.572600886, 23.449335012,
1543 Account Alert.txt, class_13, JUNK, -31.0789561027, -13.7805375896,
33 Its Time to Get Wild  Early Bird Promo Code.txt, class_10, JUNK, 23.2944875137, 8.10940267507,
530 Deals  BacktoSchool.txt, class_3, JUNK, 7.07115457079, 11.0678647454,
145 These Deals Are So GoodWe Had To Share Them.txt, class_10, JUNK, 6.70581292914, -1.4697978518,
1213 Anjishnu Bloomberg LP NopSec Inc and FactSet Research Systems
 are looking for candidates like you.txt, class_12, JUNK, -15.4885125348, -15.3843843277,
1193 KFC is back with Fiery Fridays.txt, class_9, JUNK, -33.0199221116, 3.71133625343,
2181 Anjishnu Kumar find your friends on Twitter.txt, class_10, JUNK, 32.7456636643, -26.2587823636,
202 Deals from 6410  Today Only.txt, class_2, JUNK, 6.26993365804, -37.655702959,
768 Your Getaway Deals Have Arrived.txt, class_13, JUNK, 27.5381603152, 11.5236042828,
1325 New announcement from Spring 2014 HackNY Student Hackathon Power
 Snacks.txt, class_3, JUNK, 2.00014257688, -3.39097226284,
1665 UTF8QRomanticTripsforTwoE28094Upto50Off.txt, class_4, JUNK, -1.36870092106, 8.7453542163,
981 utf8QKFC20New20Product20Survey.txt, class_9, JUNK, -10.6725437458, 9.62140593869,
487 In the Public Eye  Storytelling  Jul 2014.txt, class_6, JUNK, -20.976209559, 14.9148318298,
2487 Daily Recap for Sunday 9 June.txt, class_13, JUNK, 26.6977099442, 9.31491253706,
1346 Anjishnu CyberCoders Bloomberg LP and FILD are looking for
 candidates like you.txt, class_12, JUNK, -15.4532146607, -15.3248911323,
1318 Re NYC Bhangras 5th Annual Holi Hai Fest in New York City.txt, class_8, JUNK, 7.43739450129, 17.4349266341,
1209 Which aspect of our government is most embarrassing to you as an
 American.txt, class_5, JUNK, 13.8098917003, 17.099757432,
728 utf8Q2020off20on20KFC.txt, class_1, JUNK, -17.3673000229, 30.0157830422,
1872 20 discussions on LinkedIn.txt, class_0, JUNK, -0.788775222867, 32.1697202337,
1850 Fwd Order Acknowledgement CUARTS Order ID PR57410627.txt, class_3, JUNK, -3.55680829297, 18.605892781,
560 Account Alert.txt, class_13, JUNK, -31.0988648881, -13.4417541612,
1067 utf8QWin20a20Free20ticket20to20Pepsi20VIP20Box.txt, class_9, JUNK, -29.2106060529, 5.28056090583,
1435 See Urveshs connections experience and more.txt, class_7, JUNK, -9.78280290353, -15.0229665583,
333 4Star Atlantic City  Poconos  Great Wolf Lodge  Catskills 
 Atlantic City.txt, class_5, JUNK, 22.1288951363, 13.832552772,
123 2014 Annual Alumni Meets  Block your calendar.txt, class_11, JUNK, -43.9726332489, 9.72162004484,
2386 Re Twitter Sentiment Analysis Manually Classify Tweets SPY 
 Group 3 200 Tweets.txt, class_10, JUNK, 32.7590078809, -7.42562456778,
2406 Re Twitter Sentiment Analysis Manually Classify Tweets GLD 
 Group 5  128 Tweets.txt, class_10, JUNK, 29.5920318255, -10.6570390386,
